Frequency - Spectrum Data,Amplitude - Spectrum Data,Frequency - Lorentzian Fit,Amplitude - Lorentzian Fit
59993.8,-50.324,59993.8,-52.2729
59995.3,-50.3483,59995.3,-52.2722
59996.9,-50.3863,59996.9,-52.2715
59998.4,-50.4358,59998.4,-52.2708
60000,-50.493,60000,-52.2702
60001.6,-50.5534,60001.6,-52.2695
60003.1,-50.6121,60003.1,-52.2688
60004.7,-50.6647,60004.7,-52.2681
60006.2,-50.708,60006.2,-52.2674
60007.8,-50.7393,60007.8,-52.2668
60009.4,-50.7573,60009.4,-52.2661
60010.9,-50.7616,60010.9,-52.2654
60012.5,-50.7524,60012.5,-52.2647
60014.1,-50.7314,60014.1,-52.2641
60015.6,-50.7009,60015.6,-52.2634
60017.2,-50.6636,60017.2,-52.2627
60018.8,-50.6224,60018.8,-52.262
60020.3,-50.5799,60020.3,-52.2614
60021.9,-50.5387,60021.9,-52.2607
60023.4,-50.5007,60023.4,-52.26
60025,-50.4667,60025,-52.2593
60026.6,-50.4368,60026.6,-52.2586
60028.1,-50.4104,60028.1,-52.258
60029.7,-50.3864,60029.7,-52.2573
60031.2,-50.3636,60031.2,-52.2566
60032.8,-50.341,60032.8,-52.2559
60034.4,-50.318,60034.4,-52.2553
60035.9,-50.2946,60035.9,-52.2546
60037.5,-50.2716,60037.5,-52.2539
60039.1,-50.2505,60039.1,-52.2532
60040.6,-50.233,60040.6,-52.2525
60042.2,-50.2207,60042.2,-52.2519
60043.8,-50.2149,60043.8,-52.2512
60045.3,-50.2165,60045.3,-52.2505
60046.9,-50.2259,60046.9,-52.2498
60048.4,-50.2428,60048.4,-52.2492
60050,-50.2665,60050,-52.2485
60051.6,-50.296,60051.6,-52.2478
60053.1,-50.3305,60053.1,-52.2471
60054.7,-50.3686,60054.7,-52.2464
60056.2,-50.4097,60056.2,-52.2458
60057.8,-50.4524,60057.8,-52.2451
60059.4,-50.4956,60059.4,-52.2444
60060.9,-50.5383,60060.9,-52.2437
60062.5,-50.5795,60062.5,-52.2431
60064.1,-50.6183,60064.1,-52.2424
60065.6,-50.653,60065.6,-52.2417
60067.2,-50.6819,60067.2,-52.241
60068.8,-50.7034,60068.8,-52.2403
60070.3,-50.7155,60070.3,-52.2397
60071.9,-50.7171,60071.9,-52.239
60073.4,-50.7077,60073.4,-52.2383
60075,-50.6876,60075,-52.2376
60076.6,-50.6577,60076.6,-52.2369
60078.1,-50.6202,60078.1,-52.2363
60079.7,-50.5776,60079.7,-52.2356
60081.2,-50.5329,60081.2,-52.2349
60082.8,-50.4887,60082.8,-52.2342
60084.4,-50.4477,60084.4,-52.2336
60085.9,-50.4121,60085.9,-52.2329
60087.5,-50.3838,60087.5,-52.2322
60089.1,-50.3637,60089.1,-52.2315
60090.6,-50.3524,60090.6,-52.2308
60092.2,-50.3498,60092.2,-52.2302
60093.8,-50.3554,60093.8,-52.2295
60095.3,-50.3679,60095.3,-52.2288
60096.9,-50.3857,60096.9,-52.2281
60098.4,-50.4071,60098.4,-52.2274
60100,-50.43,60100,-52.2268
60101.6,-50.4519,60101.6,-52.2261
60103.1,-50.4708,60103.1,-52.2254
60104.7,-50.4845,60104.7,-52.2247
60106.2,-50.4914,60106.2,-52.224
60107.8,-50.491,60107.8,-52.2234
60109.4,-50.4836,60109.4,-52.2227
60110.9,-50.4706,60110.9,-52.222
60112.5,-50.4548,60112.5,-52.2213
60114.1,-50.4388,60114.1,-52.2206
60115.6,-50.4257,60115.6,-52.22
60117.2,-50.4184,60117.2,-52.2193
60118.8,-50.4195,60118.8,-52.2186
60120.3,-50.431,60120.3,-52.2179
60121.9,-50.454,60121.9,-52.2172
60123.4,-50.4879,60123.4,-52.2166
60125,-50.5319,60125,-52.2159
60126.6,-50.5838,60126.6,-52.2152
60128.1,-50.64,60128.1,-52.2145
60129.7,-50.6958,60129.7,-52.2138
60131.2,-50.7461,60131.2,-52.2132
60132.8,-50.7855,60132.8,-52.2125
60134.4,-50.8102,60134.4,-52.2118
60135.9,-50.8174,60135.9,-52.2111
60137.5,-50.8066,60137.5,-52.2104
60139.1,-50.779,60139.1,-52.2097
60140.6,-50.7381,60140.6,-52.2091
60142.2,-50.6885,60142.2,-52.2084
60143.8,-50.635,60143.8,-52.2077
60145.3,-50.5821,60145.3,-52.207
60146.9,-50.5328,60146.9,-52.2063
60148.4,-50.4892,60148.4,-52.2057
60150,-50.4518,60150,-52.205
60151.6,-50.4198,60151.6,-52.2043
60153.1,-50.3912,60153.1,-52.2036
60154.7,-50.365,60154.7,-52.2029
